Name;Template;Reference;Category
provenance+xml;application/provenance+xml;[W3C][Ivan_Herman];Application
prs.alvestrand.titrax-sheet;application/prs.alvestrand.titrax-sheet;[Harald_T._Alvestrand];Application
prs.cww;application/prs.cww;[Khemchart_Rungchavalnont];Application
prs.cyn;application/prs.cyn;[Cynthia_Revström];Application
prs.hpub+zip;application/prs.hpub+zip;[Giulio_Zambon];Application
prs.nprend;application/prs.nprend;[Jay_Doggett];Application
prs.plucker;application/prs.plucker;[Bill_Janssen];Application
prs.rdf-xml-crypt;application/prs.rdf-xml-crypt;[Toby_Inkster];Application
prs.xsf+xml;application/prs.xsf+xml;[Maik_Stührenberg];Application
pskc+xml;application/pskc+xml;[RFC6030];Application
pvd+json;application/pvd+json;[RFC8801];Application
rdf+xml;application/rdf+xml;[RFC3870];Application
route-apd+xml;application/route-apd+xml;[ATSC];Application
route-s-tsid+xml;application/route-s-tsid+xml;[ATSC];Application
route-usd+xml;application/route-usd+xml;[ATSC];Application
QSIG;application/QSIG;[RFC3204];Application
raptorfec;application/raptorfec;[RFC6682];Application
rdap+json;application/rdap+json;[RFC9083];Application
reginfo+xml;application/reginfo+xml;[RFC3680];Application
relax-ng-compact-syntax;application/relax-ng-compact-syntax;[http://www.jtc1sc34.org/repository/0661.pdf];Application
remote-printing;application/remote-printing;[RFC1486][Marshall_Rose];Application
reputon+json;application/reputon+json;[RFC7071];Application
resource-lists-diff+xml;application/resource-lists-diff+xml;[RFC5362];Application
resource-lists+xml;application/resource-lists+xml;[RFC4826];Application
rfc+xml;application/rfc+xml;[RFC7991];Application
riscos;application/riscos;[Nick_Smith];Application
rlmi+xml;application/rlmi+xml;[RFC4662];Application
rls-services+xml;application/rls-services+xml;[RFC4826];Application
rpki-checklist;application/rpki-checklist;[RFC9323];Application
rpki-ghostbusters;application/rpki-ghostbusters;[RFC6493];Application
rpki-manifest;application/rpki-manifest;[RFC6481];Application
rpki-publication;application/rpki-publication;[RFC8181];Application
rpki-roa;application/rpki-roa;[RFC6481];Application
rpki-updown;application/rpki-updown;[RFC6492];Application
rtf;application/rtf;[Paul_Lindner];Application
rtploopback;application/rtploopback;[RFC6849];Application
rtx;application/rtx;[RFC4588];Application
samlassertion+xml;application/samlassertion+xml;[OASIS_Security_Services_Technical_Committee_SSTC];Application
samlmetadata+xml;application/samlmetadata+xml;[OASIS_Security_Services_Technical_Committee_SSTC];Application
sarif-external-properties+json;application/sarif-external-properties+json;[OASIS][David_Keaton][Michael_C._Fanning];Application
sarif+json;application/sarif+json;[OASIS][Michael_C._Fanning][Laurence_J._Golding];Application
sbe;application/sbe;[FIX_Trading_Community][Donald_L._Mendelson];Application
sbml+xml;application/sbml+xml;[RFC3823];Application
scaip+xml;application/scaip+xml;[SIS][Oskar_Jonsson];Application
scim+json;application/scim+json;[RFC7644];Application
scvp-cv-request;application/scvp-cv-request;[RFC5055];Application
scvp-cv-response;application/scvp-cv-response;[RFC5055];Application
scvp-vp-request;application/scvp-vp-request;[RFC5055];Application
scvp-vp-response;application/scvp-vp-response;[RFC5055];Application
sdp;application/sdp;[RFC8866];Application
secevent+jwt;application/secevent+jwt;[RFC8417];Application
senml-etch+cbor;application/senml-etch+cbor;[RFC8790];Application
senml-etch+json;application/senml-etch+json;[RFC8790];Application
senml-exi;application/senml-exi;[RFC8428];Application
senml+cbor;application/senml+cbor;[RFC8428];Application
senml+json;application/senml+json;[RFC8428];Application
senml+xml;application/senml+xml;[RFC8428];Application
sensml-exi;application/sensml-exi;[RFC8428];Application
sensml+cbor;application/sensml+cbor;[RFC8428];Application
sensml+json;application/sensml+json;[RFC8428];Application
sensml+xml;application/sensml+xml;[RFC8428];Application
sep-exi;application/sep-exi;[Robby_Simpson][ZigBee];Application
sep+xml;application/sep+xml;[Robby_Simpson][ZigBee];Application
session-info;application/session-info;[_3GPP][Frederic_Firmin];Application
set-payment;application/set-payment;[Brian_Korver];Application
set-payment-initiation;application/set-payment-initiation;[Brian_Korver];Application
set-registration;application/set-registration;[Brian_Korver];Application
set-registration-initiation;application/set-registration-initiation;[Brian_Korver];Application
SGML;application/SGML;[RFC1874];Application
sgml-open-catalog;application/sgml-open-catalog;[Paul_Grosso];Application
shf+xml;application/shf+xml;[RFC4194];Application
sieve;application/sieve;[RFC5228];Application
simple-filter+xml;application/simple-filter+xml;[RFC4661];Application
simple-message-summary;application/simple-message-summary;[RFC3842];Application
simpleSymbolContainer;application/simpleSymbolContainer;[_3GPP];Application
sipc;application/sipc;[NCGIS][Bryan_Blank];Application
slate;application/slate;[Terry_Crowley];Application
smil (OBSOLETED in favor of application/smil+xml);application/smil;[RFC4536];Application
smil+xml;application/smil+xml;[RFC4536];Application
smpte336m;application/smpte336m;[RFC6597];Application
soap+fastinfoset;application/soap+fastinfoset;[ITU-T_ASN.1_Rapporteur][ISO-IEC_JTC1_SC6_ASN.1_Rapporteur];Application
soap+xml;application/soap+xml;[RFC3902];Application
sparql-query;application/sparql-query;[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-query-20070614/#mediaType];Application
spdx+json;application/spdx+json;[Linux_Foundation][Rose_Judge];Application
sparql-results+xml;application/sparql-results+xml;[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-XMLres-20070925/#mime];Application
spirits-event+xml;application/spirits-event+xml;[RFC3910];Application
sql;application/sql;[RFC6922];Application
srgs;application/srgs;[RFC4267];Application
srgs+xml;application/srgs+xml;[RFC4267];Application
sru+xml;application/sru+xml;[RFC6207];Application
ssml+xml;application/ssml+xml;[RFC4267];Application
stix+json;application/stix+json;[OASIS][Chet_Ensign];Application
swid+cbor;application/swid+cbor;[RFC-ietf-sacm-coswid-22];Application
swid+xml;application/swid+xml;[ISO-IEC_JTC1][David_Waltermire][Ron_Brill];Application
tamp-apex-update;application/tamp-apex-update;[RFC5934];Application
tamp-apex-update-confirm;application/tamp-apex-update-confirm;[RFC5934];Application
tamp-community-update;application/tamp-community-update;[RFC5934];Application
tamp-community-update-confirm;application/tamp-community-update-confirm;[RFC5934];Application
tamp-error;application/tamp-error;[RFC5934];Application
tamp-sequence-adjust;application/tamp-sequence-adjust;[RFC5934];Application
tamp-sequence-adjust-confirm;application/tamp-sequence-adjust-confirm;[RFC5934];Application
tamp-status-query;application/tamp-status-query;[RFC5934];Application
tamp-status-response;application/tamp-status-response;[RFC5934];Application
tamp-update;application/tamp-update;[RFC5934];Application
tamp-update-confirm;application/tamp-update-confirm;[RFC5934];Application
taxii+json;application/taxii+json;[OASIS][Chet_Ensign];Application
td+json;application/td+json;[W3C][Matthias_Kovatsch];Application
tei+xml;application/tei+xml;[RFC6129];Application
TETRA_ISI;application/TETRA_ISI;[ETSI][Miguel_Angel_Reina_Ortega];Application
thraud+xml;application/thraud+xml;[RFC5941];Application
timestamp-query;application/timestamp-query;[RFC3161];Application
timestamp-reply;application/timestamp-reply;[RFC3161];Application
timestamped-data;application/timestamped-data;[RFC5955];Application
tlsrpt+gzip;application/tlsrpt+gzip;[RFC8460];Application
tlsrpt+json;application/tlsrpt+json;[RFC8460];Application
tm+json;application/tm+json;[W3C][Sebastian_Kaebisch];Application
tnauthlist;application/tnauthlist;[RFC8226];Application
token-introspection+jwt;application/token-introspection+jwt;[RFC-oauth-jwt-introspection-response-12];Application
trickle-ice-sdpfrag;application/trickle-ice-sdpfrag;[RFC8840];Application
trig;application/trig;[W3C][W3C_RDF_Working_Group];Application
ttml+xml;application/ttml+xml;[W3C][W3C_Timed_Text_Working_Group];Application
tve-trigger;application/tve-trigger;[Linda_Welsh];Application
tzif;application/tzif;[RFC8536];Application
tzif-leap;application/tzif-leap;[RFC8536];Application
ulpfec;application/ulpfec;[RFC5109];Application
urc-grpsheet+xml;application/urc-grpsheet+xml;[Gottfried_Zimmermann][ISO-IEC_JTC1];Application
urc-ressheet+xml;application/urc-ressheet+xml;[Gottfried_Zimmermann][ISO-IEC_JTC1];Application
urc-targetdesc+xml;application/urc-targetdesc+xml;[Gottfried_Zimmermann][ISO-IEC_JTC1];Application
urc-uisocketdesc+xml;application/urc-uisocketdesc+xml;[Gottfried_Zimmermann];Application
vcard+json;application/vcard+json;[RFC7095];Application
vcard+xml;application/vcard+xml;[RFC6351];Application
vemmi;application/vemmi;[RFC2122];Application
vnd.1000minds.decision-model+xml;application/vnd.1000minds.decision-model+xml;[Franz_Ombler];Application
vnd.3gpp.5gnas;application/vnd.3gpp.5gnas;[_3GPP][Jones_Lu_Yunjie];Application
vnd.3gpp.access-transfer-events+xml;application/vnd.3gpp.access-transfer-events+xml;[Frederic_Firmin];Application
vnd.3gpp.bsf+xml;application/vnd.3gpp.bsf+xml;[John_M_Meredith];Application
